City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
25,Kidal,ML,89.24,overcast clouds,18.4411,1.4078,
31,Teknaf,BD,78.73,scattered clouds,20.8624,92.3058,Forestry Guesthouse
35,Albany,US,75.02,overcast clouds,42.6001,-73.9662,
36,Callaway,US,84.97,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
37,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
38,Mahibadhoo,MV,82.99,overcast clouds,3.7833,72.9667,Omadhoo Inn
43,Tamiahua,MX,86.61,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
44,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,DoubleFAG
45,Marihatag,PH,79.2,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
49,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Hilo,US,83.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
55,Meulaboh,ID,75.31,overcast clouds,4.1363,96.1285,Kost Pria
58,Samarai,PG,81.48,overcast clouds,-10.6167,150.6667,Nuli Sapi
60,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
61,Butaritari,KI,82.02,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
66,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
67,Manokwari,ID,81.37,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
70,Leticia,CO,77.05,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
73,Victoria,HK,83.25,heavy intensity rain,22.2855,114.1577,Mini Central
75,Dingle,PH,79.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
78,Arlit,NE,86.04,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
80,Faanui,PF,79.36,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Berea,US,75.25,broken clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
84,Namatanai,PG,83.43,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
86,Matara,LK,77.65,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
92,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
93,Salinopolis,BR,78.44,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
94,Sinnamary,GF,77.43,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
97,Jawhar,SO,75.67,broken clouds,2.7809,45.5005,Hotel Shabelle
99,Mehran,IR,87.67,clear sky,33.1222,46.1646,بوتیک زنانه بهار
103,Banjar,ID,77.52,overcast clouds,-8.19,114.9675,The Hamsa Resort
111,Narasaraopet,IN,89.65,overcast clouds,16.25,80.0667,AT International Lodge
113,Saint Anthony,US,78.85,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
115,Manavalakurichi,IN,78.91,overcast clouds,8.1333,77.3,Jebinrio home
122,Omboue,GA,75.16,clear sky,-1.5746,9.2618,Hotel Olako
127,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
128,Kavieng,PG,84.47,clear sky,-2.5744,150.7967,Nusa Island Retreat
129,Velingara,SN,84.09,overcast clouds,13.15,-14.1167,Hotel Najla
135,Ahuimanu,US,89.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
139,Koutiala,ML,89.62,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
141,Fare,PF,79.5,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
143,Atuona,PF,77.79,few clouds,-9.8,-139.0333,Villa Enata
148,Tual,ID,82.36,broken clouds,-5.6667,132.75,Grand Vilia Hotel
168,Celestun,MX,83.8,few clouds,20.8667,-90.4,Posada Lilia
172,Meridian,US,87.85,few clouds,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
