City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,48.76,63,6,18.16,clear sky
1,Hermanus,ZA,-34.4187,19.2345,61.81,46,66,7.29,broken clouds
2,Lasa,IT,46.6166,10.7002,65.28,79,0,4.99,clear sky
3,Puerto Ayora,EC,-0.7393,-90.3518,76.96,92,53,8.01,broken clouds
4,Hobart,AU,-42.8794,147.3294,40.86,78,40,17.27,scattered clouds
5,Sisimiut,GL,66.9395,-53.6735,41.86,69,30,13.96,scattered clouds
6,Bluff,NZ,-46.6,168.3333,39.79,77,100,10.27,overcast clouds
7,Belaya Gora,RU,68.5333,146.4167,65.7,38,1,11.72,clear sky
8,Barrow,US,71.2906,-156.7887,32.02,80,100,12.66,overcast clouds
9,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,3.44,light rain
10,Flinders,AU,-34.5833,150.8552,56.37,61,0,5.99,clear sky
11,Linhares,BR,-19.3911,-40.0722,70.09,86,95,6.6,overcast clouds
12,Scarborough,GB,54.2797,-0.4044,56.79,81,4,4.0,clear sky
13,Nikolskoye,RU,59.7035,30.7861,60.69,74,40,3.67,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,41.11,93,75,5.75,broken clouds
15,Torbay,CA,47.6666,-52.7314,66.97,55,40,20.71,scattered clouds
16,Avarua,CK,-21.2078,-159.775,78.85,65,75,17.27,broken clouds
17,Cape Town,ZA,-33.9258,18.4232,66.88,52,93,5.99,overcast clouds
18,East London,ZA,-33.0153,27.9116,71.89,30,44,14.09,scattered clouds
19,Khatanga,RU,71.9667,102.5,48.4,62,92,9.4,overcast clouds
20,Jamestown,US,42.097,-79.2353,71.19,84,53,6.04,broken clouds
21,Galt,US,38.2546,-121.3,101.68,34,3,17.72,clear sky
22,La Paz,BO,-16.5,-68.15,51.78,14,0,2.3,clear sky
23,Hof,DE,50.3167,11.9167,62.51,70,42,1.14,scattered clouds
24,Adrar,MR,20.5022,-10.0711,95.63,10,84,10.33,broken clouds
25,Kidal,ML,18.4411,1.4078,89.24,28,98,4.99,overcast clouds
26,Mataura,NZ,-46.1927,168.8643,39.47,86,98,3.13,light rain
27,Vardo,NO,70.3705,31.1107,53.58,66,75,17.27,broken clouds
28,Barcelos,PT,41.5388,-8.6151,74.68,79,0,2.62,clear sky
29,Mar Del Plata,AR,-38.0023,-57.5575,48.94,85,0,7.0,clear sky
30,Ushuaia,AR,-54.8,-68.3,49.66,66,75,8.05,drizzle
31,Teknaf,BD,20.8624,92.3058,78.73,92,30,6.89,scattered clouds
32,Busselton,AU,-33.65,115.3333,62.87,86,47,15.26,scattered clouds
33,Rikitea,PF,-23.1203,-134.9692,73.74,76,35,11.68,light rain
34,Mahebourg,MU,-20.4081,57.7,68.29,94,75,3.44,broken clouds
35,Albany,US,42.6001,-73.9662,75.02,57,100,1.99,overcast clouds
36,Callaway,US,30.153,-85.5699,84.97,75,0,10.36,clear sky
37,Vaini,TO,-21.2,-175.2,82.56,78,20,11.5,few clouds
38,Mahibadhoo,MV,3.7833,72.9667,82.99,75,100,11.54,overcast clouds
39,Tiksi,RU,71.6872,128.8694,39.45,70,65,7.85,broken clouds
40,Bredasdorp,ZA,-34.5322,20.0403,60.44,36,82,4.23,broken clouds
41,Yasnyy,RU,51.0333,59.8742,57.15,86,98,8.14,overcast clouds
42,Sechura,PE,-5.5569,-80.8222,68.79,69,17,16.91,few clouds
43,Tamiahua,MX,21.2667,-97.45,86.61,64,12,14.61,few clouds
44,Labuhan,ID,-6.8844,112.2051,77.94,89,99,5.59,overcast clouds
45,Marihatag,PH,8.7936,126.2969,79.2,86,98,1.81,overcast clouds
46,Saint-Philippe,RE,-21.3585,55.7679,65.79,81,50,11.63,light rain
47,Port Hedland,AU,-20.3167,118.5667,64.45,82,9,10.36,clear sky
48,Half Moon Bay,US,37.4636,-122.4286,95.54,72,0,25.32,clear sky
49,Kapaa,US,22.0752,-159.319,82.47,73,20,16.11,few clouds
50,Yellowknife,CA,62.456,-114.3525,66.72,55,75,17.27,broken clouds
51,College,US,64.8569,-147.8028,70.59,40,40,5.75,scattered clouds
52,Hilo,US,19.7297,-155.09,83.28,79,40,4.61,scattered clouds
53,Paraopeba,BR,-19.2757,-44.4033,66.02,78,98,3.4,light rain
54,Pereira,CO,4.8133,-75.6961,70.95,83,75,6.91,light intensity drizzle
55,Meulaboh,ID,4.1363,96.1285,75.31,89,100,3.74,overcast clouds
56,Carballo,ES,43.213,-8.691,66.0,93,93,12.1,overcast clouds
57,Port Elizabeth,ZA,-33.918,25.5701,72.1,33,0,9.22,clear sky
58,Samarai,PG,-10.6167,150.6667,81.48,77,93,8.08,overcast clouds
59,Morondava,MG,-20.2833,44.2833,69.08,57,0,8.32,clear sky
60,Isangel,VU,-19.55,169.2667,78.91,94,75,2.3,broken clouds
61,Butaritari,KI,3.0707,172.7902,82.02,75,50,12.21,scattered clouds
62,Strezhevoy,RU,60.7333,77.5889,53.85,97,64,7.34,broken clouds
63,Pevek,RU,69.7008,170.3133,41.4,55,78,5.84,broken clouds
64,Olafsvik,IS,64.8945,-23.7142,46.0,85,100,8.97,overcast clouds
65,Ferme-Neuve,CA,46.7001,-75.4493,66.58,57,80,8.08,broken clouds
66,Kahului,US,20.8947,-156.47,86.02,62,40,32.21,scattered clouds
67,Manokwari,ID,-0.8667,134.0833,81.37,63,53,0.45,broken clouds
68,Luderitz,NA,-26.6481,15.1594,64.38,47,35,4.7,scattered clouds
69,Bengkulu,ID,-3.8004,102.2655,74.91,93,100,14.2,light rain
70,Leticia,CO,-4.2153,-69.9406,77.05,73,75,5.75,broken clouds
71,Ambovombe,MG,-25.1667,46.0833,67.19,84,4,14.99,clear sky
72,Esperance,AU,-33.8667,121.9,57.11,77,83,14.27,broken clouds
